input_text,target_text
Send a message to John to confirm interview timings,Confirm interview timings
Tell Karan to check the bug fixes,Check the bug fixes
Ask Ankit to update the deployment plan,Update the deployment plan
Ask Rahul to send the invoice to finance,Send the invoice to finance
Ping Alex and book the conference room,Book the conference room
Message Divya to draft the new proposal,Draft the new proposal
Ask Meera to plan the next sprint tasks,Plan the next sprint tasks
Remind Meera to review the presentation slides,Review the presentation slides
Request Neha to push the changes to GitHub,Push the changes to GitHub
Ask Meera to book the conference room,Book the conference room
Ask Sanjay if they can send a summary of today’s meeting,Can you send a summary of today’s meeting?
Tell Riya to upload the test results,Upload the test results
Text Meera to submit the daily report,Submit the daily report
Message Karan to send me the project update,Send me the project update
Request Sanjay to share the onboarding document,Share the onboarding document
Message Sneha to bring the laptop tomorrow,Bring the laptop tomorrow
Tell Alex to bring the laptop tomorrow,Bring the laptop tomorrow
Ask Riya if they can schedule the client meeting,Can you schedule the client meeting?
Ping Rina and send me the project update,Send me the project update
Ping Karan and share the new code files,Share the new code files
Ask Sanjay to share the onboarding document,Share the onboarding document
Text Isha to share the onboarding document,Share the onboarding document
Ping Rina and book the conference room,Book the conference room
Text Isha to draft the new proposal,Draft the new proposal
Send a message to Ankit to share the new code files,Share the new code files
Text Karan to review the latest pull request,Review the latest pull request
Ask Rina if they can draft the new proposal,Can you draft the new proposal?
Tell Isha to finalize the budget report,Finalize the budget report
Send a message to Karan to share the new code files,Share the new code files
Ask Rahul to review the latest pull request,Review the latest pull request
Ping Neha and submit the daily report,Submit the daily report
Ping Rahul and update the deployment plan,Update the deployment plan
Inform Rahul to send the invoice to finance,Send the invoice to finance
Ask Rina if they can share the new code files,Can you share the new code files?
Ping Rina and schedule the client meeting,Schedule the client meeting
Remind Rina to submit the daily report,Submit the daily report
Inform Neha to update the deployment plan,Update the deployment plan
Send a message to Ankit to book the conference room,Book the conference room
Request Isha to update the deployment plan,Update the deployment plan
Ask Rohit if they can check the bug fixes,Can you check the bug fixes?
Message Rohit to book the conference room,Book the conference room
Request Divya to plan the next sprint tasks,Plan the next sprint tasks
Remind Riya to push the changes to GitHub,Push the changes to GitHub
Tell Isha to share the onboarding document,Share the onboarding document
Ping John and finalize the budget report,Finalize the budget report
Request Alex to finalize the budget report,Finalize the budget report
Tell Rina to send a summary of today’s meeting,Send a summary of today’s meeting
Ping Meera and send me the project update,Send me the project update
Tell Neha to submit the daily report,Submit the daily report
Request Karan to update the deployment plan,Update the deployment plan
Request Rohit to send a summary of today’s meeting,Send a summary of today’s meeting
Message Riya to update the deployment plan,Update the deployment plan
Remind Sneha to push the changes to GitHub,Push the changes to GitHub
Remind Divya to bring the laptop tomorrow,Bring the laptop tomorrow
Text Alex to confirm interview timings,Confirm interview timings
Ask Rohit to send a summary of today’s meeting,Send a summary of today’s meeting
Message Isha to schedule the client meeting,Schedule the client meeting
Request Rahul to bring the laptop tomorrow,Bring the laptop tomorrow
Message Sanjay to draft the new proposal,Draft the new proposal
Inform Rina to send the invoice to finance,Send the invoice to finance
Ask Karan if they can bring the laptop tomorrow,Can you bring the laptop tomorrow?
Tell Rahul to draft the new proposal,Draft the new proposal
Ping John and bring the laptop tomorrow,Bring the laptop tomorrow
Request Sneha to draft the new proposal,Draft the new proposal
Send a message to Karan to send a summary of today’s meeting,Send a summary of today’s meeting
Inform Neha to schedule the client meeting,Schedule the client meeting
Inform Sneha to schedule the client meeting,Schedule the client meeting
Inform Meera to confirm interview timings,Confirm interview timings
Message Rohit to book the conference room,Book the conference room
Inform Rohit to bring the laptop tomorrow,Bring the laptop tomorrow
Ask John to review the presentation slides,Review the presentation slides
Tell Divya to prepare the meeting notes,Prepare the meeting notes
Remind Rahul to bring the laptop tomorrow,Bring the laptop tomorrow
Message Sneha to draft the new proposal,Draft the new proposal
Text Rahul to send me the project update,Send me the project update
Inform Sanjay to submit the daily report,Submit the daily report
Tell Karan to update the deployment plan,Update the deployment plan
Ask Alex if they can submit the daily report,Can you submit the daily report?
Text Priya to push the changes to GitHub,Push the changes to GitHub
